NAME,GAF_AREA,TYPE,LAT,LONG
Cairns,QLD-N,TAF,-16.87583,145.75278
Cape Flattery,QLD-N,Non-TAF,-14.9672,145.3106
Century Mine,QLD-N,Non-TAF,-18.75333,138.70667
Charters Towers,QLD-N,Non-TAF,-20.04314,146.27298
Clermont,QLD-N,TAF,-22.77294,147.62063
Cloncurry,QLD-N,TAF,-20.67306,140.50278
Coen,QLD-N,TAF,-13.76208,143.11643
Cooktown,QLD-N,TAF,-15.44466,145.18431
Dysart Airport,QLD-N,Non-TAF,-22.6222,148.364
Georgetown,QLD-N,TAF,-18.30504,143.52991
Hamilton Island,QLD-N,TAF,-20.35816,148.95164
Horn Island,QLD-N,TAF,-10.58644,142.29003
Hughenden,QLD-N,TAF,-20.81493,144.2252
Innisfail,QLD-N,TAF,-17.55858,146.01162
Julia Creek,QLD-N,TAF,-20.66837,141.72249
Kowanyama,QLD-N,TAF,-15.48559,141.75142
Lizard Island,QLD-N,Non-TAF,-14.67333,145.455
Lockhart River,QLD-N,TAF,-12.78708,143.30469
Mackay,QLD-N,TAF,-21.17167,149.17444
Macrossan,QLD-N,Non-TAF,-21.0167,146.4833
Mareeba,QLD-N,TAF,-17.06911,145.41905
Moranbah,QLD-N,TAF,-22.05791,148.07756
Mornington Island,QLD-N,TAF,-16.66263,139.17793
Mount Isa,QLD-N,TAF,-20.66639,139.48944
Normanton,QLD-N,TAF,-17.685,141.07025
Osborne Mine,QLD-N,Non-TAF,-22.08167,140.55666
Pirlangimpi Airport,QLD-N,Non-TAF,-11.4021,130.4217
Proserpine/Whitsunday Coast,QLD-N,TAF,-20.495,148.55235
Richmond,QLD-N,TAF,-20.70203,143.11481
Samuel Hill,QLD-N,Non-TAF,-22.75,150.63333
Saumarez Reef Seaplane Base,QLD-N,Non-TAF,-21.85729,153.64654
Scherger,QLD-N,Non-TAF,-12.62389,142.08722
The Monument,QLD-N,TAF,-21.81108,139.92361
Townsend Island Seaplane Base,QLD-N,Non-TAF,-22.30475,150.4972
Townsville,QLD-N,TAF,-19.25472,146.77222
Trepell,QLD-N,TAF,-21.835,140.88833
Weipa,QLD-N,TAF,-12.67857,141.92538
Williamson,QLD-N,Non-TAF,-22.47333,150.17833
Winton,QLD-N,TAF,-22.36348,143.08561
Amberley,QLD-S,TAF,-27.64066,152.71182
Archerfield,QLD-S,TAF,-27.57034,153.00803
Ballera,QLD-S,TAF,-27.40833,141.80833
Barcaldine,QLD-S,Non-TAF,-23.56514,145.30671
Birdsville,QLD-S,TAF,-25.89889,139.35194
Blackall,QLD-S,Non-TAF,-24.42789,145.42855
Brisbane Airport,QLD-S,TAF,-27.38889,153.11583
Bundaberg,QLD-S,TAF,-24.89667,152.32306
Charleville,QLD-S,TAF,-26.4125,146.25694
Chinchilla,QLD-S,Non-TAF,-26.7694,150.6167
Cunnamulla,QLD-S,Non-TAF,-28.03006,145.62212
Emerald,QLD-S,TAF,-23.56763,148.1792
Gayndah,QLD-S,Non-TAF,-25.61522,151.62077
Gladstone Airport,QLD-S,TAF,-23.86981,151.22274
Gold Coast (Coolangatta),QLD-S,TAF,-28.16111,153.51528
Goondiwindi,QLD-S,Non-TAF,-28.52128,150.32019
Heron Island,QLD-S,Non-TAF,-23.4422,151.9131
Hervey Bay,QLD-S,TAF,-25.31881,152.8803
Kingaroy,QLD-S,TAF,-26.58081,151.84101
Longreach,QLD-S,TAF,-23.44583,144.28278
Maroochydore/Sunshine Coast,QLD-S,TAF,-26.60342,153.09104
Maryborough (QLD),QLD-S,TAF,-25.52083,152.70833
Oakey,QLD-S,TAF,-27.41639,151.73556
Quilpie,QLD-S,Non-TAF,-26.61667,144.25611
Rockhampton,QLD-S,TAF,-23.37861,150.47639
Roma,QLD-S,TAF,-26.54512,148.77486
St George,QLD-S,TAF,-28.04976,148.5953
Thangool,QLD-S,TAF,-24.49377,150.57624
Thargomindah,QLD-S,TAF,-27.98635,143.8109
Toowoomba,QLD-S,TAF,-27.55556,151.92083
Wellcamp,QLD-S,TAF,-27.5586,151.7942
Windorah,QLD-S,TAF,-25.41294,142.66731
Adelaide Airport,SA,TAF,-34.94944,138.52556
Arkaroola,SA,Non-TAF,-30.41,139.35
