NAME,AREA,POINT,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,LAT5,LONG5
Nowra,NSW-E,Y,-34.93333,150.56111,,,,,,,,
Orange,NSW-E,Y,-33.38177,149.13298,,,,,,,,
Parkes,NSW-E,Y,-33.13127,148.23905,,,,,,,,
Port Macquaire,NSW-E,Y,-31.43594,152.86335,,,,,,,,
Richmond NSW,NSW-E,Y,-33.60069,150.78072,,,,,,,,
Scone,NSW-E,Y,-32.03725,150.83213,,,,,,,,
Shellharbour Airport,NSW-E,Y,-34.56116,150.78859,,,,,,,,
Sydney Airport,NSW-E,Y,-33.95694,151.16667,,,,,,,,
Tamworth,NSW-E,Y,-31.08889,150.85,,,,,,,,
Taree,NSW-E,Y,-31.88856,152.51384,,,,,,,,
Wagga Wagga,NSW-E,Y,-35.16389,147.4625,,,,,,,,
Williamtown (NSW),NSW-E,Y,-32.79493,151.83447,,,,,,,,
Young,NSW-E,Y,-34.25567,148.24813,,,,,,,,
Albury,NSW-W,Y,-36.06944,146.95333,,,,,,,,
Bourke,NSW-W,Y,-30.03904,145.95163,,,,,,,,
Brewarrina,NSW-W,Y,-29.97401,146.81675,,,,,,,,
Broken Hill,NSW-W,Y,-32.00146,141.47163,,,,,,,,
Cobar,NSW-W,Y,-31.53833,145.79389,,,,,,,,
Condobolin,NSW-W,Y,-33.06438,147.2091,,,,,,,,
Coonamble,NSW-W,Y,-30.98339,148.37564,,,,,,,,
Corowa,NSW-W,Y,-35.99033,146.3513,,,,,,,,
Dubbo,NSW-W,Y,-32.21944,148.56528,,,,,,,,
Eliwana,WA-N,Y,-22.4281,116.8867,,,,,,,,
Forbes,NSW-W,Y,-33.36362,147.93486,,,,,,,,
Griffith,NSW-W,Y,-34.25097,146.06727,,,,,,,,
Hay,NSW-W,Y,-34.53142,144.82967,,,,,,,,
Ivanhoe,NSW-W,Y,-32.88333,144.31,,,,,,,,
Narrandera,NSW-W,Y,-34.70217,146.51226,,,,,,,,
Nyngan,NSW-W,Y,-31.55115,147.20281,,,,,,,,
Temora,NSW-W,Y,-34.42131,147.51169,,,,,,,,
Tibooburra,NSW-W,Y,-29.45097,142.05779,,,,,,,,
Wanaaring,NSW-W,Y,-29.712,144.171,,,,,,,,
Walgett,NSW-W,Y,-30.03267,148.12578,,,,,,,,
West Wylong,NSW-W,Y,-33.93723,147.19152,,,,,,,,
White Cliffs,NSW-W,Y,-30.8517,143.0742,,,,,,,,
Wilcannia,NSW-W,Y,-31.52627,143.3748,,,,,,,,
Alice Springs,NT,Y,-23.80694,133.89944,,,,,,,,
Ayers Rock (Yulara),NT,Y,-25.18614,130.97556,,,,,,,,
Batchelor,NT,Y,-13.0545,131.0252,,,,,,,,
Bathurst Island (Nguiu),NT,Y,-11.76909,130.61974,,,,,,,,
Borroloola,NT,Y,-16.07527,136.30234,,,,,,,,
Browse Island,NT,Y,-14.1,123.5,,,,,,,,
Darwin Airport,NT,Y,-12.41833,130.8675,,,,,,,,
Delamere Weapons Range,NT,Y,-15.7442,131.9182,,,,,,,,
Elcho Island (Ngayawili),NT,Y,-12.01934,135.57065,,,,,,,,
Gove,NT,Y,-12.26931,136.81832,,,,,,,,
Groote Eylandt,NT,Y,-13.975,136.46,,,,,,,,
Hooker Creek (Lajamanu),NT,Y,-18.33586,130.64344,,,,,,,,
Jabiru,NT,Y,-12.65842,132.89309,,,,,,,,
Jervois,NT,Y,-22.9495,136.1444,,,,,,,,
Kintore (Wulungurru),NT,Y,-23.265,129.385,,,,,,,,
Maningrida,NT,Y,-12.05605,134.23408,,,,,,,,
McArthur River Mine,NT,Y,-16.44253,136.08373,,,,,,,,
