icao,longitude,latitude
YGLB,149.7265028,-34.81021944
YGTH,146.0672722,-34.25096944
YHAW,138.4682333,-31.85465
YHKT,135.4472222,-22.94388889
YHML,142.0652444,-37.64875556
YIDR,133.7333333,-25.06666667
YIVO,144.3115722,-32.88468611
YJGP,118.9,-33.91666667
YKBL,121.598358,-31.190644
YKEB,117.7238889,-31.61777778
YKIG,139.87,-36.82
YKNT,129.385,-23.265
YLAO,140.465,-35.37333333
YLEO,121.3146472,-28.87811667
YLST,120.703225,-27.84339722
YLUC,136.2733333,-22.47666667
YMAU,116.9166667,-24.31666667
YMBB,146.2616667,-37.84166667
YMBT,147.1669444,-36.72861111
YMCT,140.3661111,-37.58354444
YMDZ,115.9625,-21.21
YMEK,118.547675,-26.61174722
YMES,147.1495639,-38.09893611
YMHB,147.5102417,-42.83617222
YMIV,136.0696667,-32.44433333
YMMB,145.1023056,-37.97585
YMNG,145.1841917,-36.88828611
YMPA,135.1444667,-32.84291667
YMRW,116.0219889,-29.20125
YMTG,140.7852806,-37.74543611
YMZI,121.025,-29.66666667
YNPB,132.7630556,-22.53305556
YNRG,117.08,-32.93
YNUL,120.19855,-21.91268056
YOLA,143.6797222,-38.28638889
YOOD,135.4449472,-27.55993611
YORB,148.6096056,-37.79040278
YPAD,138.5306833,-34.94495556
YPBO,117.7453972,-23.17121944
YPED,138.6208056,-34.70258333
YPJT,115.8812139,-32.09744722
YPKS,148.2390528,-33.13126667
YPMH,135.5244944,-29.71787778
YPPD,118.6264806,-20.37784167
YPTB,138.8483333,-33.005
YRAW,125.325,-31.01666667
YROE,117.1561333,-20.761475
YSAC,144.745,-41.42
YSCB,149.195033,-35.306822
YSCR,119.3597944,-31.24029722
YSHL,150.7885833,-34.56114167
YSMI,145.0837361,-40.83501667
YSRN,145.2912917,-42.15563056
YSTH,148.2818528,-41.33679722
YSWL,142.7402972,-37.07169167
YTEM,147.5116944,-34.42130833
YTLP,144.4199833,-30.92555
YTOT,147.3688333,-32.25616667
YWAG,144.1710333,-29.71176667
YWBR,126.5833333,-26.12833333
YWGT,146.3068583,-36.41592778
YWIR,136.2333333,-31.2
YWLA,132.6233333,-21.27666667
YWMC,136.3409833,-28.90706667
YWRN,147.8025278,-31.7332
YWUD,135.4472083,-33.04323611
YWYY,145.731225,-40.99876389
YYNG,148.248125,-34.25566944
