NAME,GAF_AREA,TYPE,LAT,LONG
Tilpa,NSW-W,Non-TAF,-30.92555,144.4199833
Alice Springs,NT,TAF,-23.80694,133.89944
Ayers Rock (Yulara),NT,TAF,-25.18614,130.97556
Batchelor,NT,Non-TAF,-13.0545,131.0252
Bathurst Island (Nguiu),NT,TAF,-11.76909,130.61974
Bayu Undun Platform ,NT,TAF,-11.07,126.613333
Borroloola,NT,Non-TAF,-16.07527,136.30234
Browse Island,NT,Non-TAF,-14.1,123.5
Darwin,NT,TAF,-12.41833,130.8675
Delamere Weapons Range,NT,Non-TAF,-15.7442,131.9182
Dili ,NT,TAF,-8.546389,125.524722
Elcho Island (Ngayawili),NT,TAF,-12.01934,135.57065
Gove,NT,TAF,-12.26931,136.81832
Groote Eylandt,NT,TAF,-13.975,136.46
Hooker Creek (Lajamanu),NT,TAF,-18.33586,130.64344
Jabiru,NT,TAF,-12.65842,132.89309
Jervois,NT,Non-TAF,-22.9495,136.1444
Kintore (Wulungurru),NT,Non-TAF,-23.265,129.385
Maningrida,NT,TAF,-12.05605,134.23408
McArthur River Mine,NT,TAF,-16.44253,136.08373
Milingimbi,NT,Non-TAF,-12.09447,134.89353
Modec Venture Drilling Rig,NT,Non-TAF,-10.88333,126.58333
Ngukurr,NT,TAF,-14.72283,134.7476
Northern Endeavour Drilling Rig,NT,Non-TAF,-10.6225,126.03333
Pickertarmoor,NT,Non-TAF,-11.76667,130.86667
Port Keats,NT,TAF,-14.24987,129.52922
Smith Point,NT,Non-TAF,-11.15,132.15
Snake Bay,NT,Non-TAF,-11.42288,130.65352
South Goulburn Island (Warruwi),NT,Non-TAF,-11.65061,133.38206
Tanami Mine,NT,Non-TAF,-19.96667,129.72556
Tennant Creek,NT,TAF,-19.64861,134.18139
The Granites,NT,TAF,-20.54833,130.34667
Tindal,NT,TAF,-14.52099,132.37786
Troughton Island,NT,Non-TAF,-13.75167,126.14833
Victoria River Downs,NT,Non-TAF,-16.40362,131.0025
Suai,NT,TAF,-9.303889,125.286944
Wave Hill,NT,Non-TAF,-17.39364,131.1191
Yuendumu,NT,TAF,-22.25412,131.78217
Boulia,QLD-N,Non-TAF,-22.91333,139.89972
Burketown,QLD-N,TAF,-17.7485,139.53451
Cairns,QLD-N,TAF,-16.87583,145.75278
Cape Flattery,QLD-N,Non-TAF,-14.9672,145.3106
Century Mine,QLD-N,Non-TAF,-18.75333,138.70667
Charters Towers,QLD-N,Non-TAF,-20.04314,146.27298
Clermont,QLD-N,TAF,-22.77294,147.62063
Cloncurry,QLD-N,TAF,-20.67306,140.50278
Coen,QLD-N,TAF,-13.76208,143.11643
Cooktown,QLD-N,TAF,-15.44466,145.18431
Dysart,QLD-N,Non-TAF,-22.6222,148.364
Georgetown,QLD-N,TAF,-18.30504,143.52991
Hamilton Island,QLD-N,TAF,-20.35816,148.95164
Horn Island,QLD-N,TAF,-10.58644,142.29003
Hughenden,QLD-N,TAF,-20.81493,144.2252
Innisfail,QLD-N,TAF,-17.55858,146.01162
Julia Creek,QLD-N,TAF,-20.66837,141.72249
Kowanyama,QLD-N,TAF,-15.48559,141.75142
Lizard Island,QLD-N,Non-TAF,-14.67333,145.455
Lockhart River,QLD-N,TAF,-12.78708,143.30469
Mackay,QLD-N,TAF,-21.17167,149.17444
Macrossan,QLD-N,Non-TAF,-21.0167,146.4833
Mareeba,QLD-N,TAF,-17.06911,145.41905
Moranbah,QLD-N,TAF,-22.05791,148.07756
Mornington Island,QLD-N,TAF,-16.66263,139.17793
Mount Isa,QLD-N,TAF,-20.66639,139.48944
Normanton,QLD-N,TAF,-17.685,141.07025
Osborne Mine,QLD-N,Non-TAF,-22.08167,140.55666
Pirlangimpi,QLD-N,Non-TAF,-11.4021,130.4217
Proserpine/Whitsunday Coast,QLD-N,TAF,-20.495,148.55235
Richmond (QLD),QLD-N,TAF,-20.70203,143.11481
Samuel Hill,QLD-N,Non-TAF,-22.75,150.63333
Scherger,QLD-N,Non-TAF,-12.62389,142.08722
The Monument,QLD-N,TAF,-21.81108,139.92361
Townsend Island Seaplane Base,QLD-N,Non-TAF,-22.30475,150.4972
Townsville,QLD-N,TAF,-19.25472,146.77222
Trepell,QLD-N,TAF,-21.835,140.88833
Weipa,QLD-N,TAF,-12.67857,141.92538
Williamson,QLD-N,Non-TAF,-22.47333,150.17833
Winton,QLD-N,TAF,-22.36348,143.08561
Amberley,QLD-S,TAF,-27.64066,152.71182
Archerfield,QLD-S,TAF,-27.57034,153.00803
Ballera,QLD-S,TAF,-27.40833,141.80833
Barcaldine,QLD-S,Non-TAF,-23.56514,145.30671
Birdsville,QLD-S,TAF,-25.89889,139.35194
Blackall,QLD-S,Non-TAF,-24.42789,145.42855
Brisbane,QLD-S,TAF,-27.38889,153.11583
Bundaberg,QLD-S,TAF,-24.89667,152.32306
Charleville,QLD-S,TAF,-26.4125,146.25694
Chinchilla,QLD-S,Non-TAF,-26.7694,150.6167
Cunnamulla,QLD-S,Non-TAF,-28.03006,145.62212
Emerald,QLD-S,TAF,-23.56763,148.1792
Gayndah,QLD-S,Non-TAF,-25.61522,151.62077
Gladstone,QLD-S,TAF,-23.86981,151.22274
Gold Coast (Coolangatta),QLD-S,TAF,-28.16111,153.51528
Goondiwindi,QLD-S,Non-TAF,-28.52128,150.32019
Heron Island,QLD-S,Non-TAF,-23.4422,151.9131
Hervey Bay,QLD-S,TAF,-25.31881,152.8803
Kingaroy,QLD-S,TAF,-26.58081,151.84101
Longreach,QLD-S,TAF,-23.44583,144.28278
Maroochydore/Sunshine Coast,QLD-S,TAF,-26.60342,153.09104
Maryborough (QLD),QLD-S,TAF,-25.52083,152.70833
Oakey,QLD-S,TAF,-27.41639,151.73556
Quilpie,QLD-S,Non-TAF,-26.61667,144.25611
Rockhampton,QLD-S,TAF,-23.37861,150.47639
