icao,longitude,latitude
YHKT,135.4472222,-22.94388889
YHLC,127.6669,-18.2331
YHID,142.295,-10.9511
YHML,142.0652444,-37.64875556
YHOO,130.6466667,-18.32833333
YHSM,142.1669,-36.7219
YHUG,144.2219,-20.8469
YIBO,117.4569,-22.5569
YIDR,133.7333333,-25.06666667
YIFL,146.0116194,-17.558583
YINJ,148.55,-25.85
YIVO,144.3115722,-32.88468611
YIVL,151.1441861,-29.88831389
YJAB,132.895,-12.6592
YJGP,118.9,-33.91666667
YJLC,141.7224917,-20.66836667
YKBL,121.598358,-31.190644
YKDD,118.8819,-22.8819
YKEB,117.7238889,-31.61777778
YKII,143.878,-39.8778
YKIG,139.87,-36.82
YKIL,129.6141667,-16.43138889
YKLE,131.7469444,-16.25027778
YKLC,123.6219,-16.1269
YKMP,152.7696472,-31.07431944
YKNT,129.385,-23.265
YKOM,130.4419,-17.7419
YKOW,141.7519,-15.4869
YKRY,151.8419,-26.5769
YKSC,137.5219,-35.7139
YPKU,128.7019,-15.7781
YLAH,138.5847222,-18.57638889
YLAO,140.465,-35.37333333
YLBD,122.8819,-16.8669
YLEC,138.4219,-30.3269
YLEO,121.3146472,-28.87811667
YLEV,135.8057028,-12.49901111
YLHR,143.3769,-14.5969
YLHI,159.0771889,-31.53835
YLIS,153.2569,-28.8339
YLKN,137.9174583,-20.97995
YLLE,143.6219,-26.5919
YLOR,139.8994444,-19.00638889
YLRE,144.2802583,-23.43416944
YLST,120.703225,-27.84339722
YLTV,146.47,-38.2097
YLUC,136.2733333,-22.47666667
YMAU,116.9166667,-24.31666667
YMAV,144.758,-38.0389
YMAY,146.958,-36.0736
YMBA,145.4239167,-17.070575
YMBB,146.2616667,-37.84166667
YMBD,139.3219,-35.1169
YMBT,147.1669444,-36.72861111
YMDG,149.6069,-32.5669
YMDZ,115.9625,-21.21
YMEK,118.547675,-26.61174722
YMEN,144.9019,-37.7289
YMER,149.9019,-36.9089
YMES,147.1495639,-38.09893611
YMGB,134.8935306,-12.09446667
YMGD,134.8219,-12.0519
YMGV,143.5033333,-14.78111111
YMHB,147.5102417,-42.83617222
YMHU,136.0819,-16.0819
YMHW,142.2832722,-26.51106111
YMIA,142.0869,-34.2389
YMIT,147.9367694,-26.48342778
YMIV,136.0696667,-32.44433333
YMMB,145.1023056,-37.97585
YMLT,147.214,-41.5458
YMML,144.843,-37.6733
YMND,151.4888333,-32.70412778
YMNG,145.1841917,-36.88828611
YMOG,117.7819,-28.1169
YMOR,149.8446528,-29.49881389
YMPA,135.1444667,-32.84291667
YMRB,148.0769,-22.0589
YMRT,145.15,-17.7
YMRW,116.0219889,-29.20125
YMRY,150.144,-35.8956
YMTB,144.5333333,-22.58333333
YMTG,140.7852806,-37.74543611
YMTI,142.4869,-16.6969
YMTO,151.1018194,-24.89223333
YMYB,152.7119,-25.5119
YMYH,135.7766667,-16.96666667
YMZI,121.025,-29.66666667
YNAT,135.4299139,-15.58703889
YNCR,140.7319,-36.7619
YNAR,146.5119,-34.7019
YNBR,149.8269,-30.3189
YNGU,134.7476028,-14.722825
YNPB,132.7630556,-22.53305556
YNRG,117.08,-32.93
YNTN,141.070247,-17.685
YNUL,120.19855,-21.91268056
YNWN,119.8019,-23.4189
YOEN,133.0056444,-12.32521111
YOLA,143.6797222,-38.28638889
YOLW,115.1069,-21.6619
YOOD,135.4449472,-27.55993611
YOOM,140.1989,-28.0989
YORB,148.6096056,-37.79040278
YORG,149.1319,-33.3819
YPAG,137.7169,-32.5069
YPAD,138.5306833,-34.94495556
YPBO,117.7453972,-23.17121944
YPCC,96.834,-12.1889
YPDN,130.876,-12.4146
YPEA,116.0219,-31.6719
YPED,138.6208056,-34.70258333
YPGV,136.8183361,-12.26929444
YJPT,115.8812139,-32.09744722
YPJT,115.8819,-32.0969
YPKA,116.7669,-20.7081
YPKG,121.4619,-30.7897
YPKS,148.2390528,-33.13126667
YPKT,129.5269,-14.8969
YPKU,128.7019,-15.7781
YPLC,135.8819,-34.6069
YPLM,114.0969,-22.2356
YPMH,135.5244944,-29.71787778
YPMQ,152.8619,-31.4369
YPMP,141.6109278,-14.89745556
YPOD,141.4719,-38.3169
YPPH,115.967,-31.9403
YPPD,118.6264806,-20.37784167
YPPF,138.6319,-34.7919
YPTB,138.8483333,-33.005
YPTN,132.3778611,-14.52099444
YPWR,136.8169,-31.1419
YPXM,105.689,-10.4506
YRAW,125.325,-31.01666667
YRBR,136.945,-16.71833333
YREN,140.6819,-34.2619
YRMD,143.1219,-20.7019
YRNG,134.8975722,-12.35645556
YROE,117.1561333,-20.761475
YROM,148.7819,-26.5669
YRTI,115.5419,-32.0069
YRTP,141.8432028,-15.64326944
YSAC,144.745,-41.42
YSCB,147.51,-42.8361
YSCR,119.3597944,-31.24029722
YSDU,148.5819,-32.2169
YSGE,148.5939,-28.0439
YSHL,150.7885833,-34.56114167
YSHK,113.5819,-25.8969
YSHT,145.3919,-36.4269
YSHW,150.8419,-34.2069
YSLW,149.4666667,-22.36666667
YSMI,145.0837361,-40.83501667
YSNF,167.9389,-29.0439
YSNK,130.6535194,-11.42288333
YSNW,150.5369,-34.9489
YSRI,150.7819,-33.6069
YSRN,145.2912917,-42.15563056
YSRT,149.075975,-27.15955556
YSSY,151.1772,-33.9399
YSTH,148.2818528,-41.33679722
YSTW,150.8469,-31.0739
YSUJ,129.95,-19.26666667
YSWG,147.466,-35.1653
YSWH,143.5319,-35.3419
YSWL,142.7402972,-37.07169167
YTAN,129.75,-20.58333333
YTEF,122.2319,-21.7269
YTEM,147.5116944,-34.42130833
YTGM,143.8219,-28.0069
YTGT,130.35,-20.548333
YTMO,148.8419,-21.9319
YTNK,134.1819,-19.6369
YTNG,150.5762444,-24.49377222
YTLP,144.4199833,-30.92555
YTOT,147.3688333,-32.25616667
YTRE,152.5138361,-31.88855556
YTST,126.3819,-14.2569
YTWB,151.9119,-27.5419
YBTL,146.765,-19.2525
YTRA,123.5819,-28.4419
YUCH,134.2380556,-17.67361111
YVRD,131.0025,-16.40361667
YWAG,144.1710333,-29.71176667
YWBL,142.4469,-38.2969
YWBR,126.5833333,-26.12833333
YWBI,134.3964389,-20.99928333
YWDH,142.6673056,-25.41294444
YWGT,146.3068583,-36.41592778
YWHA,137.5219,-33.0589
YWIR,136.2333333,-31.2
YWLA,132.6233333,-21.27666667
YWLG,148.1257778,-30.03266667
YWLM,151.8419,-32.7969
YWLU,120.2219,-26.8669
YWMC,136.3409833,-28.90706667
YWND,151.8613361,-26.28425556
YWRN,147.8025278,-31.7332
YWTN,143.4719,-22.3669
YWUD,135.4472083,-33.04323611
YWYY,145.731225,-40.99876389
YWYM,128.1531472,-15.51143611
YYKI,143.405,-9.753333
YYNG,148.248125,-34.25566944
YYND,131.8219,-22.2569
